country,highest_education,title,pay_usd
United States,Master’s degree,Other,"80-90,000"
United States,Master’s degree,Salesperson,"50-60,000"
United States,Bachelor’s degree,Not employed,
Spain,Master’s degree,Product/Project Manager,"40-50,000"
United States,Bachelor’s degree,Research Scientist,"20-30,000"
United States,Bachelor’s degree,Business Analyst,"40-50,000"
France,Master’s degree,Data Scientist,"40-50,000"
United States,Master’s degree,Consultant,"90-100,000"
Japan,Bachelor’s degree,Software Engineer,"20-30,000"
United States,Doctoral degree,Other,"90-100,000"
Argentina,Doctoral degree,Research Assistant,"0-10,000"
Kenya,Professional degree,Other,"30-40,000"
Vietnam,Master’s degree,Student,"0-10,000"
"Hong Kong SAR, China",Master’s degree,Data Scientist,"40-50,000"
Philippines,Master’s degree,Student,"0-10,000"
France,Doctoral degree,Research Scientist,"60-70,000"
United States,Master’s degree,Data Scientist,"150-200,000"
Indonesia,Professional degree,Data Engineer,"50-60,000"
Russian Federation,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Scientist,"80-90,000"
Belarus,Bachelor’s degree,Software Engineer,"30-40,000"
Brazil,Some college/university study without earning a bachelor’s degree,Data Scientist,"20-30,000"
Germany,Master’s degree,Data Engineer,"125-150,000"
Canada,Bachelor’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
United States,Master’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Analyst,"80-90,000"
Bangladesh,Bachelor’s degree,Data Scientist,"0-10,000"
United States,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Other,"100-125,000"
United States,Master’s degree,Other,"100-125,000"
Chile,Master’s degree,Data Scientist,"40-50,000"
Romania,Master’s degree,Software Engineer,"10-20,000"
Canada,Master’s degree,Data Scientist,"50-60,000"
United States,Master’s degree,Data Scientist,"80-90,000"
United States,Bachelor’s degree,Data Scientist,"60-70,000"
Nigeria,Bachelor’s degree,Student,"0-10,000"
United States,Master’s degree,Research Scientist,"40-50,000"
"Egypt, Arab Rep.",Master’s degree,Data Scientist,"0-10,000"
Russian Federation,Doctoral degree,Data Scientist,"20-30,000"
United States,Master’s degree,Research Scientist,"60-70,000"
Australia,Bachelor’s degree,Student,"20-30,000"
Poland,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Data Analyst,"30-40,000"
Romania,Master’s degree,Data Scientist,"10-20,000"
United States,Doctoral degree,Not employed,
Spain,Master’s degree,Consultant,"20-30,000"
United States,Doctoral degree,Data Scientist,"100-125,000"
United States,Some college/university study without earning a bachelor’s degree,Not employed,
United States,Bachelor’s degree,Data Analyst,"80-90,000"
United Kingdom,Master’s degree,Other,"40-50,000"
Israel,Some college/university study without earning a bachelor’s degree,Software Engineer,"100-125,000"
United States,Bachelor’s degree,Not employed,
United States,Doctoral degree,Data Scientist,"150-200,000"
Brazil,Master’s degree,Software Engineer,"0-10,000"
Ukraine,Master’s degree,Student,"0-10,000"
United States,Master’s degree,Other,"60-70,000"
Turkey,Bachelor’s degree,Student,"0-10,000"
United States,Master’s degree,Manager,"200-250,000"
Greece,Doctoral degree,Research Scientist,"30-40,000"
Germany,Master’s degree,Manager,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Data Analyst,"40-50,000"
Canada,Master’s degree,Other,"40-50,000"
Canada,Bachelor’s degree,Student,"0-10,000"
United States,Master’s degree,Product/Project Manager,"100-125,000"
United States,Master’s degree,Software Engineer,"60-70,000"
Belgium,Bachelor’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
Canada,Doctoral degree,Data Scientist,"50-60,000"
United States,Doctoral degree,Data Scientist,"100-125,000"
United States,Master’s degree,Business Analyst,"80-90,000"
United States,Master’s degree,Data Analyst,"60-70,000"
Netherlands,Doctoral degree,Research Scientist,"20-30,000"
United States,Master’s degree,Chief Officer,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Data Analyst,"60-70,000"
Russian Federation,Master’s degree,Data Analyst,"40-50,000"
United States,Master’s degree,Data Scientist,"80-90,000"
Hungary,Doctoral degree,Research Assistant,"0-10,000"
United States,Some college/university study without earning a bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Brazil,Doctoral degree,Research Scientist,"0-10,000"
Germany,Master’s degree,Research Scientist,"40-50,000"
Russian Federation,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Brazil,Doctoral degree,Research Scientist,"50-60,000"
United States,Master’s degree,Data Scientist,"100-125,000"
France,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Colombia,Bachelor’s degree,Data Engineer,"10-20,000"
United States,Master’s degree,Chief Officer,"100-125,000"
Mexico,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Scientist,"90-100,000"
United States,Master’s degree,Data Scientist,"125-150,000"
South Africa,Master’s degree,Manager,"50-60,000"
Poland,Bachelor’s degree,Software Engineer,"10-20,000"
Canada,Master’s degree,Student,"10-20,000"
United States,Doctoral degree,Data Scientist,"200-250,000"
Greece,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Ukraine,Doctoral degree,Data Analyst,"0-10,000"
Italy,Doctoral degree,Data Scientist,"20-30,000"
Singapore,Bachelor’s degree,Business Analyst,"50-60,000"
Brazil,Master’s degree,Statistician,I do not wish to disclose my approximate yearly compensation
Brazil,Some college/university study without earning a bachelor’s degree,Data Scientist,"20-30,000"
Singapore,Master’s degree,Data Scientist,"40-50,000"
United States,Master’s degree,Data Scientist,"100-125,000"
India,Professional degree,Software Engineer,"0-10,000"
"Egypt, Arab Rep.",Some college/university study without earning a bachelor’s degree,Data Scientist,"0-10,000"
Russian Federation,Master’s degree,Data Analyst,"20-30,000"
United States,Bachelor’s degree,Data Analyst,"40-50,000"
India,Bachelor’s degree,Student,"0-10,000"
Turkey,Professional degree,Software Engineer,"0-10,000"
Argentina,Doctoral degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Switzerland,Master’s degree,Statistician,"90-100,000"
United States,Master’s degree,Data Scientist,"100-125,000"
United States,Master’s degree,Chief Officer,I do not wish to disclose my approximate yearly compensation
Singapore,Bachelor’s degree,Data Analyst,"30-40,000"
Portugal,Doctoral degree,Principal Investigator,"40-50,000"
Germany,Master’s degree,Student,
Mexico,Master’s degree,Statistician,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Data Scientist,"100-125,000"
Belgium,Master’s degree,Statistician,"50-60,000"
Colombia,Master’s degree,Data Engineer,"10-20,000"
Colombia,Bachelor’s degree,Student,"0-10,000"
Canada,Doctoral degree,Data Analyst,"60-70,000"
India,Master’s degree,Other,"0-10,000"
Ukraine,Master’s degree,Data Analyst,"0-10,000"
Vietnam,Bachelor’s degree,Software Engineer,"0-10,000"
Bangladesh,Bachelor’s degree,Software Engineer,"10-20,000"
United States,Some college/university study without earning a bachelor’s degree,Salesperson,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Not employed,
Netherlands,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Canada,Bachelor’s degree,Software Engineer,"40-50,000"
United States,Master’s degree,Chief Officer,"100-125,000"
United States,Master’s degree,Data Analyst,"60-70,000"
United Kingdom,Master’s degree,Student,
United States,Bachelor’s degree,Data Scientist,"70-80,000"
United States,Master’s degree,Data Scientist,"100-125,000"
Canada,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,"0-10,000"
United States,Doctoral degree,Research Scientist,"50-60,000"
Germany,Master’s degree,Data Scientist,"80-90,000"
India,Bachelor’s degree,Data Scientist,"20-30,000"
United Kingdom,Some college/university study without earning a bachelor’s degree,Principal Investigator,"40-50,000"
Pakistan,Bachelor’s degree,Student,"0-10,000"
France,Doctoral degree,Research Scientist,"30-40,000"
United States,Master’s degree,DBA/Database Engineer,"125-150,000"
Japan,Master’s degree,Data Scientist,"50-60,000"
Morocco,Master’s degree,Student,
Mexico,Master’s degree,Consultant,"50-60,000"
United States,Master’s degree,Software Engineer,"90-100,000"
Netherlands,Master’s degree,Consultant,"50-60,000"
Canada,Doctoral degree,Research Scientist,
United States,Bachelor’s degree,Consultant,"90-100,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Brazil,Master’s degree,Data Scientist,"40-50,000"
United States,Bachelor’s degree,Business Analyst,"60-70,000"
Netherlands,Master’s degree,Data Scientist,"40-50,000"
Poland,Master’s degree,Product/Project Manager,"0-10,000"
Italy,Master’s degree,Student,
Germany,Master’s degree,Student,"10-20,000"
India,Bachelor’s degree,Not employed,
Russian Federation,Master’s degree,Chief Officer,"10-20,000"
United States,Master’s degree,Data Scientist,"90-100,000"
Peru,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Data Analyst,"60-70,000"
Japan,Master’s degree,Research Scientist,"70-80,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Brazil,Bachelor’s degree,Software Engineer,"20-30,000"
United States,Doctoral degree,Principal Investigator,"50-60,000"
Philippines,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Software Engineer,"125-150,000"
United States,Doctoral degree,Data Scientist,"80-90,000"
United States,Master’s degree,Data Analyst,
Italy,I prefer not to answer,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Analyst,"70-80,000"
Canada,Bachelor’s degree,Data Analyst,"60-70,000"
Russian Federation,Master’s degree,Data Analyst,"10-20,000"
United States,Bachelor’s degree,Data Engineer,"60-70,000"
United States,Doctoral degree,Student,"20-30,000"
Ukraine,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Germany,Some college/university study without earning a bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Canada,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Analyst,"125-150,000"
United States,Master’s degree,Data Scientist,"100-125,000"
Russian Federation,Professional degree,Data Scientist,"20-30,000"
Germany,Doctoral degree,Data Scientist,"60-70,000"
United States,Bachelor’s degree,Software Engineer,"125-150,000"
United States,Master’s degree,Statistician,I do not wish to disclose my approximate yearly compensation
United Kingdom,Master’s degree,Data Analyst,"80-90,000"
Denmark,Master’s degree,Data Scientist,"90-100,000"
Singapore,Doctoral degree,Data Scientist,"50-60,000"
Russian Federation,Doctoral degree,Research Scientist,"0-10,000"
United States,Master’s degree,Data Scientist,"150-200,000"
Netherlands,Master’s degree,Business Analyst,"90-100,000"
Turkey,Bachelor’s degree,Not employed,
Mexico,Doctoral degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
Germany,Doctoral degree,Manager,"100-125,000"
Mexico,Master’s degree,Developer Advocate,"0-10,000"
Poland,Doctoral degree,Manager,"80-90,000"
United Kingdom,Doctoral degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Spain,Master’s degree,Data Scientist,"40-50,000"
Canada,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Principal Investigator,"150-200,000"
France,Master’s degree,Data Analyst,"60-70,000"
United States,Master’s degree,Data Analyst,"60-70,000"
United States,Bachelor’s degree,Product/Project Manager,"125-150,000"
Colombia,Master’s degree,Data Engineer,"40-50,000"
Russian Federation,Master’s degree,Data Analyst,"0-10,000"
Germany,Master’s degree,Data Analyst,"30-40,000"
United States,Master’s degree,Data Scientist,"100-125,000"
United States,Bachelor’s degree,Business Analyst,"90-100,000"
United States,Doctoral degree,Software Engineer,"100-125,000"
Russian Federation,Some college/university study without earning a bachelor’s degree,Data Engineer,"0-10,000"
Nigeria,Master’s degree,Consultant,"50-60,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
Brazil,Bachelor’s degree,Data Analyst,"0-10,000"
Morocco,Master’s degree,Not employed,
United States,Doctoral degree,Software Engineer,"150-200,000"
United States,Doctoral degree,Product/Project Manager,"125-150,000"
United States,Master’s degree,Statistician,I do not wish to disclose my approximate yearly compensation
Brazil,Master’s degree,Student,"20-30,000"
France,Master’s degree,Student,"0-10,000"
United States,Master’s degree,Software Engineer,"20-30,000"
Nigeria,Bachelor’s degree,Student,"0-10,000"
Finland,Bachelor’s degree,Research Assistant,"0-10,000"
United States,Master’s degree,Student,"20-30,000"
South Africa,Master’s degree,Student,"0-10,000"
United States,Master’s degree,Data Scientist,"60-70,000"
India,Bachelor’s degree,Student,"0-10,000"
Canada,Master’s degree,Business Analyst,"90-100,000"
United Kingdom,Master’s degree,Data Scientist,"90-100,000"
United States,Bachelor’s degree,Data Scientist,"40-50,000"
United States,Master’s degree,Data Analyst,"0-10,000"
Canada,Master’s degree,Consultant,"125-150,000"
India,Master’s degree,Not employed,
United Kingdom,Doctoral degree,Marketing Analyst,"30-40,000"
United States,Master’s degree,Data Scientist,"90-100,000"
United States,Master’s degree,Data Scientist,"125-150,000"
Netherlands,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Germany,Doctoral degree,Research Scientist,"30-40,000"
United States,Bachelor’s degree,Student,"0-10,000"
Malaysia,Master’s degree,Data Scientist,"30-40,000"
Romania,Bachelor’s degree,Software Engineer,"10-20,000"
Czech Republic,Master’s degree,Other,"50-60,000"
United States,Master’s degree,Data Scientist,"125-150,000"
United States,Master’s degree,Data Analyst,"100-125,000"
Portugal,Master’s degree,Data Scientist,"0-10,000"
Sweden,Master’s degree,Other,"40-50,000"
Portugal,Doctoral degree,Student,"10-20,000"
Italy,Bachelor’s degree,Manager,"125-150,000"
Belarus,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Switzerland,Master’s degree,Data Scientist,"250-300,000"
United States,Bachelor’s degree,Software Engineer,
Spain,Master’s degree,Data Scientist,"20-30,000"
United States,Master’s degree,Not employed,
United States,Master’s degree,Principal Investigator,"80-90,000"
United States,Master’s degree,Data Scientist,"100-125,000"
United Kingdom,Master’s degree,Manager,I do not wish to disclose my approximate yearly compensation
Colombia,Doctoral degree,Research Scientist,"10-20,000"
United Kingdom,Master’s degree,Not employed,
Mexico,Master’s degree,Data Analyst,"0-10,000"
United States,Some college/university study without earning a bachelor’s degree,DBA/Database Engineer,"20-30,000"
India,Professional degree,Manager,I do not wish to disclose my approximate yearly compensation
Italy,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
United States,Some college/university study without earning a bachelor’s degree,Data Analyst,"70-80,000"
Spain,Master’s degree,Statistician,"60-70,000"
Canada,Bachelor’s degree,Not employed,
United States,Master’s degree,Statistician,"80-90,000"
Canada,Master’s degree,Chief Officer,"60-70,000"
Canada,Doctoral degree,Principal Investigator,"150-200,000"
Brazil,Doctoral degree,Research Scientist,"0-10,000"
United States,Bachelor’s degree,Data Analyst,"90-100,000"
Brazil,Doctoral degree,Research Scientist,"30-40,000"
"Korea, Rep.",Bachelor’s degree,Student,"0-10,000"
Belgium,Doctoral degree,Data Scientist,"20-30,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
South Africa,Master’s degree,Research Scientist,"50-60,000"
United States,Doctoral degree,Data Scientist,"100-125,000"
Brazil,Master’s degree,Other,"30-40,000"
Russian Federation,Master’s degree,Other,"0-10,000"
United States,Master’s degree,Data Analyst,"100-125,000"
United States,Master’s degree,Data Scientist,"200-250,000"
Russian Federation,Master’s degree,Manager,"0-10,000"
Mexico,Master’s degree,Software Engineer,
United States,Master’s degree,Data Scientist,"150-200,000"
Nigeria,Master’s degree,Student,"0-10,000"
Ireland,Master’s degree,Chief Officer,I do not wish to disclose my approximate yearly compensation
Poland,Master’s degree,Data Scientist,"40-50,000"
Germany,Master’s degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Germany,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
"Egypt, Arab Rep.",Master’s degree,Other,"0-10,000"
Canada,Bachelor’s degree,Manager,"100-125,000"
United States,Doctoral degree,Data Scientist,"100-125,000"
"Egypt, Arab Rep.",Master’s degree,Research Scientist,"0-10,000"
Israel,Bachelor’s degree,Manager,I do not wish to disclose my approximate yearly compensation
France,Master’s degree,Marketing Analyst,"0-10,000"
United States,Doctoral degree,Product/Project Manager,"150-200,000"
Brazil,Bachelor’s degree,Other,"0-10,000"
United States,Doctoral degree,Chief Officer,"500,000+"
Brazil,Bachelor’s degree,Data Scientist,"0-10,000"
United States,Doctoral degree,Principal Investigator,"100-125,000"
United States,Master’s degree,Salesperson,"200-250,000"
United States,Master’s degree,Student,
Vietnam,Some college/university study without earning a bachelor’s degree,Other,I do not wish to disclose my approximate yearly compensation
Brazil,Professional degree,Software Engineer,"0-10,000"
Russian Federation,Bachelor’s degree,Software Engineer,"20-30,000"
United States,Bachelor’s degree,Software Engineer,"100-125,000"
United States,Bachelor’s degree,Manager,"150-200,000"
United States,Master’s degree,Data Analyst,"80-90,000"
Greece,Doctoral degree,Data Scientist,"40-50,000"
United States,Master’s degree,Data Scientist,"90-100,000"
United Kingdom,Doctoral degree,Research Scientist,"60-70,000"
United States,Doctoral degree,Data Scientist,"150-200,000"
Peru,Bachelor’s degree,Software Engineer,"0-10,000"
United States,Doctoral degree,Data Analyst,"80-90,000"
United States,Master’s degree,Research Assistant,"30-40,000"
Germany,Doctoral degree,Software Engineer,"100-125,000"
United States,Master’s degree,Data Scientist,"125-150,000"
Canada,Master’s degree,Software Engineer,"50-60,000"
United States,Master’s degree,Data Scientist,"150-200,000"
United States,Master’s degree,Data Scientist,"125-150,000"
Germany,Bachelor’s degree,Student,
United States,Doctoral degree,Data Scientist,"250-300,000"
Italy,Master’s degree,Business Analyst,"20-30,000"
Argentina,Master’s degree,Product/Project Manager,"10-20,000"
United States,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Brazil,Bachelor’s degree,Student,"10-20,000"
Poland,Master’s degree,Software Engineer,"30-40,000"
United States,Professional degree,Chief Officer,"300-400,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
United Kingdom,Bachelor’s degree,Data Analyst,"40-50,000"
Sweden,Master’s degree,Data Analyst,"30-40,000"
United States,Master’s degree,Data Scientist,"100-125,000"
Peru,Master’s degree,Other,"10-20,000"
United Kingdom,Bachelor’s degree,Data Analyst,"40-50,000"
United States,Bachelor’s degree,Data Scientist,"150-200,000"
Russian Federation,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Greece,Some college/university study without earning a bachelor’s degree,Data Scientist,"0-10,000"
"Iran, Islamic Rep.",Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
Poland,Bachelor’s degree,Software Engineer,"20-30,000"
United States,Bachelor’s degree,Software Engineer,"0-10,000"
United States,Master’s degree,Data Engineer,"90-100,000"
France,Master’s degree,Product/Project Manager,"40-50,000"
Bangladesh,Master’s degree,Student,"0-10,000"
United States,Bachelor’s degree,Data Engineer,"50-60,000"
United States,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
Bangladesh,Master’s degree,Student,"0-10,000"
"Egypt, Arab Rep.",Bachelor’s degree,Student,"0-10,000"
Netherlands,Master’s degree,Data Scientist,"30-40,000"
United States,Doctoral degree,Principal Investigator,I do not wish to disclose my approximate yearly compensation
Germany,Bachelor’s degree,Chief Officer,"60-70,000"
Brazil,Professional degree,Data Analyst,"20-30,000"
Belarus,Some college/university study without earning a bachelor’s degree,Data Scientist,"0-10,000"
United States,Master’s degree,Student,"30-40,000"
Germany,Master’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Software Engineer,"125-150,000"
United States,Doctoral degree,Data Analyst,"90-100,000"
South Africa,Master’s degree,Software Engineer,"30-40,000"
United States,Master’s degree,Consultant,"200-250,000"
United States,Bachelor’s degree,Other,"150-200,000"
Greece,Master’s degree,Data Scientist,"0-10,000"
United States,Bachelor’s degree,Student,"10-20,000"
"Iran, Islamic Rep.",Doctoral degree,Student,"10-20,000"
United Kingdom,Master’s degree,Not employed,
United States,Master’s degree,Data Scientist,"70-80,000"
Chile,Master’s degree,Chief Officer,"70-80,000"
United States,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
"Egypt, Arab Rep.",Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Bangladesh,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"10-20,000"
United States,Master’s degree,Data Scientist,"70-80,000"
United States,Master’s degree,Data Scientist,"125-150,000"
Brazil,Master’s degree,Software Engineer,"20-30,000"
United States,Master’s degree,Manager,
United States,Bachelor’s degree,Consultant,"150-200,000"
United States,Bachelor’s degree,Product/Project Manager,"125-150,000"
Spain,Master’s degree,Data Analyst,"30-40,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
Turkey,Bachelor’s degree,Data Analyst,"40-50,000"
Finland,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,Data Analyst,"20-30,000"
United States,Bachelor’s degree,Software Engineer,"20-30,000"
India,Some college/university study without earning a bachelor’s degree,Business Analyst,"60-70,000"
Czech Republic,Master’s degree,Data Scientist,"20-30,000"
United States,Bachelor’s degree,Data Scientist,"80-90,000"
United States,Doctoral degree,Research Scientist,"90-100,000"
"Iran, Islamic Rep.",Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Brazil,Master’s degree,Other,"100-125,000"
Netherlands,Doctoral degree,Research Scientist,"200-250,000"
Russian Federation,Master’s degree,Student,"0-10,000"
Mexico,Master’s degree,Business Analyst,"10-20,000"
United States,Master’s degree,Student,"30-40,000"
United States,Bachelor’s degree,Data Scientist,"80-90,000"
United States,Master’s degree,Data Scientist,"100-125,000"
Netherlands,Bachelor’s degree,Business Analyst,"70-80,000"
United Kingdom,Professional degree,Research Assistant,"30-40,000"
United States,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Netherlands,No formal education past high school,Other,"50-60,000"
India,Bachelor’s degree,Student,
Germany,Master’s degree,Other,"80-90,000"
United Kingdom,Master’s degree,Product/Project Manager,"100-125,000"
New Zealand,Master’s degree,Business Analyst,"50-60,000"
Canada,Master’s degree,Student,"10-20,000"
United States,Master’s degree,Data Scientist,"90-100,000"
Belarus,Bachelor’s degree,Chief Officer,"60-70,000"
United States,Doctoral degree,Consultant,"80-90,000"
Germany,Doctoral degree,Data Scientist,
Canada,Doctoral degree,Data Scientist,"50-60,000"
United States,Doctoral degree,Data Scientist,"100-125,000"
France,Master’s degree,Student,
Israel,Bachelor’s degree,Data Scientist,"80-90,000"
United States,Master’s degree,Software Engineer,"90-100,000"
Germany,Master’s degree,Data Scientist,"70-80,000"
Switzerland,Master’s degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
Brazil,Doctoral degree,Software Engineer,"10-20,000"
United States,Doctoral degree,Research Scientist,"60-70,000"
United Kingdom,Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
United States,Professional degree,Software Engineer,"100-125,000"
United States,Master’s degree,Product/Project Manager,"125-150,000"
Denmark,Bachelor’s degree,Student,"10-20,000"
United States,Doctoral degree,Software Engineer,"100-125,000"
United States,Master’s degree,Research Assistant,"0-10,000"
United States,Bachelor’s degree,Product/Project Manager,"80-90,000"
Germany,Doctoral degree,Data Scientist,"90-100,000"
Nigeria,Bachelor’s degree,Other,"10-20,000"
Germany,Doctoral degree,Software Engineer,"50-60,000"
Chile,Doctoral degree,Data Scientist,"60-70,000"
United States,Master’s degree,Other,"90-100,000"
Mexico,Bachelor’s degree,Statistician,"90-100,000"
United States,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Spain,Master’s degree,Statistician,"10-20,000"
Brazil,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Scientist,"125-150,000"
United States,Master’s degree,Business Analyst,"10-20,000"
United States,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Russian Federation,Bachelor’s degree,Data Scientist,"30-40,000"
United States,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Canada,Doctoral degree,Student,"10-20,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Nigeria,Bachelor’s degree,Student,
Germany,Bachelor’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
South Africa,Bachelor’s degree,Other,I do not wish to disclose my approximate yearly compensation
Canada,Bachelor’s degree,Student,"0-10,000"
Canada,Master’s degree,Software Engineer,"70-80,000"
Sweden,Master’s degree,Software Engineer,"60-70,000"
United States,Master’s degree,Data Analyst,"70-80,000"
United Kingdom,Master’s degree,Chief Officer,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Scientist,"30-40,000"
Czech Republic,Doctoral degree,Software Engineer,"40-50,000"
Brazil,Professional degree,Data Analyst,"20-30,000"
Sweden,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Software Engineer,"60-70,000"
Italy,Bachelor’s degree,Software Engineer,"70-80,000"
Norway,Master’s degree,Consultant,"50-60,000"
Germany,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Software Engineer,"30-40,000"
Sweden,Master’s degree,Data Analyst,"0-10,000"
United States,Doctoral degree,Research Scientist,"150-200,000"
Russian Federation,Doctoral degree,Research Scientist,"10-20,000"
Turkey,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
New Zealand,Bachelor’s degree,Other,"30-40,000"
Belarus,Some college/university study without earning a bachelor’s degree,Other,"10-20,000"
United States,Master’s degree,Research Scientist,"80-90,000"
Italy,Master’s degree,Student,
France,Master’s degree,Data Scientist,"50-60,000"
India,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
United States,Master’s degree,Business Analyst,"80-90,000"
United States,Bachelor’s degree,Other,"40-50,000"
United Kingdom,Master’s degree,Other,"20-30,000"
Netherlands,Master’s degree,Data Scientist,"90-100,000"
United States,Doctoral degree,Student,"20-30,000"
Ukraine,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
United States,Master’s degree,Student,"0-10,000"
Vietnam,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Other,"125-150,000"
United States,Doctoral degree,Data Scientist,"200-250,000"
Germany,Master’s degree,Data Scientist,"60-70,000"
Russian Federation,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
Brazil,Doctoral degree,Software Engineer,"20-30,000"
Ukraine,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Germany,Master’s degree,Other,"30-40,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Turkey,Bachelor’s degree,Data Engineer,"10-20,000"
Spain,Doctoral degree,Data Scientist,"40-50,000"
United States,Bachelor’s degree,Student,"0-10,000"
France,Master’s degree,Software Engineer,
Ukraine,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Ireland,Doctoral degree,Other,"30-40,000"
United Kingdom,Doctoral degree,Data Scientist,"30-40,000"
France,Master’s degree,Software Engineer,"20-30,000"
Germany,Doctoral degree,Student,"10-20,000"
Russian Federation,Master’s degree,Software Engineer,"40-50,000"
Brazil,Master’s degree,Software Engineer,"60-70,000"
